id,item_id,dept_id,cat_id,store_id,state_id,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016
HOBBIES_1_001_CA_1_validation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,14.0,15.0,21.0,20.0,12.0,13.0,11.0,11.0,9.0,18.0,15.0,13.0,22.0,17.0,19.0,26.0,20.0,20.0,24.0,19.0,4.0,14.0,19.0,25.0,20.0,18.0,17.0,22.0,24.0,29.0,29.0
HOBBIES_1_002_CA_1_validation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,0.0,0.0,0.0,0.0,3.0,5.0,10.0,7.0,8.0,4.0,21.0,7.0,6.0,1.0,5.0,6.0,5.0,4.0,4.0,8.0,11.0,6.0,28.0,8.0,6.0,10.0,4.0,8.0,8.0,10.0,10.0,3.0,5.0,3.0,10.0,1.0,3.0,4.0,7.0,12.0,14.0,13.0,12.0,4.0,13.0,13.0,21.0,4.0,3.0,4.0,3.0,10.0,7.0,15.0,18.0,9.0,10.0,12.0,27.0,4.0,5.0,10.0
HOBBIES_1_003_CA_1_validation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,8.0,8.0,4.0,4.0,2.0,9.0,0.0,0.0,2.0,10.0,10.0,10.0,4.0,12.0,10.0,10.0,12.0,20.0,16.0,23.0,45.0,6.0,9.0,15.0
HOBBIES_1_004_CA_1_validation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_1,CA,0.0,17.0,23.0,34.0,28.0,60.0,55.0,53.0,55.0,47.0,53.0,48.0,39.0,51.0,31.0,32.0,30.0,27.0,42.0,59.0,43.0,11.0,7.0,10.0,37.0,58.0,54.0,44.0,37.0,26.0,52.0,55.0,65.0,63.0,81.0,61.0,67.0,75.0,65.0,80.0,76.0,76.0,79.0,61.0,50.0,96.0,76.0,76.0,73.0,66.0,75.0,85.0,59.0,64.0,57.0,51.0,64.0,52.0,49.0,64.0,60.0,53.0
HOBBIES_1_001_CA_2_validation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_2,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,10.0,20.0,20.0,15.0,18.0,12.0,18.0,18.0,18.0,18.0,19.0,16.0,13.0,14.0,17.0,18.0,8.0,6.0,10.0,12.0,12.0,9.0,20.0,18.0,25.0,16.0,23.0,18.0,18.0,18.0,28.0
HOBBIES_1_002_CA_2_validation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_2,CA,0.0,4.0,0.0,0.0,4.0,5.0,7.0,5.0,9.0,12.0,20.0,5.0,8.0,4.0,6.0,7.0,9.0,8.0,5.0,7.0,4.0,9.0,16.0,8.0,4.0,5.0,0.0,3.0,4.0,7.0,7.0,4.0,5.0,5.0,13.0,0.0,3.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,13.0,5.0,9.0,4.0,1.0,2.0,3.0,5.0,8.0,5.0,6.0,1.0,5.0,3.0,1.0,2.0
HOBBIES_1_003_CA_2_validation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_2,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,4.0,3.0,2.0,7.0,5.0,4.0,0.0,5.0,6.0,18.0,16.0,18.0,9.0
HOBBIES_1_004_CA_2_validation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_2,CA,127.0,105.0,158.0,194.0,174.0,144.0,113.0,112.0,146.0,152.0,163.0,188.0,67.0,91.0,93.0,106.0,141.0,98.0,103.0,82.0,121.0,86.0,93.0,129.0,112.0,118.0,101.0,132.0,127.0,61.0,140.0,117.0,126.0,118.0,144.0,144.0,104.0,138.0,134.0,90.0,93.0,137.0,113.0,133.0,112.0,115.0,131.0,153.0,120.0,125.0,146.0,143.0,132.0,114.0,107.0,94.0,81.0,101.0,114.0,123.0,74.0,77.0
HOBBIES_1_001_TX_1_validation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,4.0,10.0,9.0,5.0,5.0,10.0,11.0,10.0,15.0,20.0,4.0,3.0,9.0,3.0,9.0,1.0,8.0,6.0,9.0,12.0,8.0,7.0,4.0,8.0,8.0,6.0,7.0,6.0,6.0,12.0
HOBBIES_1_002_TX_1_validation,HOBBIES_1_002,HOBBIES_1,HOBBIES,TX_1,TX,0.0,5.0,0.0,0.0,3.0,8.0,4.0,6.0,4.0,3.0,8.0,3.0,4.0,1.0,3.0,2.0,5.0,7.0,3.0,5.0,3.0,3.0,8.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,7.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,5.0,4.0,4.0,3.0,2.0,7.0,4.0,3.0,5.0,3.0,5.0,4.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0
HOBBIES_1_003_TX_1_validation,HOBBIES_1_003,HOBBIES_1,HOBBIES,TX_1,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,7.0,9.0,6.0,11.0,7.0,3.0,3.0,7.0
HOBBIES_1_004_TX_1_validation,HOBBIES_1_004,HOBBIES_1,HOBBIES,TX_1,TX,43.0,43.0,50.0,57.0,53.0,58.0,34.0,49.0,22.0,39.0,55.0,62.0,49.0,40.0,49.0,58.0,60.0,57.0,58.0,60.0,65.0,75.0,70.0,78.0,62.0,55.0,6.0,14.0,45.0,12.0,50.0,41.0,42.0,50.0,73.0,60.0,63.0,64.0,69.0,61.0,69.0,56.0,49.0,47.0,46.0,36.0,42.0,35.0,50.0,57.0,51.0,47.0,47.0,31.0,35.0,36.0,30.0,31.0,30.0,6.0,12.0,30.0
HOBBIES_1_001_TX_2_validation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_2,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,9.0,20.0,10.0,6.0,8.0,6.0,6.0,14.0,5.0,9.0,12.0,8.0,14.0,11.0,16.0,15.0,15.0,9.0,16.0,17.0,12.0,9.0,10.0,20.0,17.0,20.0,19.0,22.0,14.0,9.0
HOBBIES_1_002_TX_2_validation,HOBBIES_1_002,HOBBIES_1,HOBBIES,TX_2,TX,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,4.0,8.0,15.0,3.0,6.0,7.0,5.0,11.0,8.0,10.0,9.0,11.0,6.0,3.0,3.0,1.0,5.0,4.0,5.0,6.0,5.0,8.0,3.0,7.0,3.0,2.0,6.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,11.0,9.0,3.0,9.0,3.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,9.0,5.0,7.0,8.0,0.0,3.0,2.0
HOBBIES_1_003_TX_2_validation,HOBBIES_1_003,HOBBIES_1,HOBBIES,TX_2,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,8.0,6.0,7.0,0.0,0.0,1.0,4.0,8.0,3.0,8.0,5.0,6.0,2.0,7.0,3.0,3.0,2.0,8.0,5.0,2.0,2.0
HOBBIES_1_004_TX_2_validation,HOBBIES_1_004,HOBBIES_1,HOBBIES,TX_2,TX,70.0,77.0,70.0,89.0,95.0,73.0,45.0,65.0,45.0,43.0,60.0,57.0,64.0,49.0,61.0,49.0,65.0,59.0,62.0,73.0,67.0,77.0,75.0,80.0,81.0,96.0,123.0,119.0,92.0,84.0,109.0,99.0,89.0,123.0,105.0,82.0,75.0,82.0,52.0,27.0,53.0,54.0,46.0,36.0,58.0,54.0,54.0,36.0,29.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,33.0
HOBBIES_2_001_CA_1_validation,HOBBIES_2_001,HOBBIES_2,HOBBIES,CA_1,CA,5.0,2.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,2.0,5.0,2.0,3.0,5.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,2.0,0.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,3.0,5.0,4.0
HOBBIES_2_002_CA_1_validation,HOBBIES_2_002,HOBBIES_2,HOBBIES,CA_1,CA,8.0,9.0,13.0,12.0,12.0,4.0,2.0,4.0,10.0,10.0,22.0,3.0,5.0,7.0,2.0,12.0,9.0,4.0,2.0,7.0,17.0,6.0,24.0,4.0,6.0,6.0,2.0,11.0,4.0,0.0,4.0,4.0,10.0,6.0,10.0,6.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,24.0,2.0,3.0,2.0,7.0,7.0,2.0,4.0,2.0,3.0,12.0,11.0,26.0,1.0,8.0,5.0
HOBBIES_2_003_CA_1_validation,HOBBIES_2_003,HOBBIES_2,HOBBIES,CA_1,CA,0.0,3.0,9.0,6.0,10.0,7.0,7.0,5.0,10.0,3.0,7.0,1.0,4.0,0.0,0.0,3.0,6.0,8.0,7.0,17.0,15.0,4.0,12.0,7.0,5.0,5.0,2.0,0.0,2.0,0.0,0.0,4.0,12.0,2.0,6.0,1.0,5.0,7.0,9.0,14.0,10.0,11.0,7.0,13.0,14.0,10.0,10.0,10.0,7.0,11.0,15.0,21.0,7.0,13.0,9.0,9.0,17.0,10.0,11.0,3.0,3.0,6.0
HOBBIES_2_004_CA_1_validation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_1,CA,7.0,7.0,4.0,5.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,9.0,7.0,8.0,8.0,3.0,7.0,2.0,6.0,0.0,8.0,7.0,9.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,6.0,8.0,1.0,5.0,4.0,6.0,9.0,6.0,2.0,2.0,5.0,4.0,8.0,4.0,6.0,7.0,5.0,4.0,11.0,6.0,1.0,4.0,4.0,7.0,2.0,8.0,7.0,5.0,9.0
HOBBIES_2_001_CA_2_validation,HOBBIES_2_001,HOBBIES_2,HOBBIES,CA_2,CA,0.0,4.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,6.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,3.0,6.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,4.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,0.0
HOBBIES_2_002_CA_2_validation,HOBBIES_2_002,HOBBIES_2,HOBBIES,CA_2,CA,13.0,7.0,9.0,10.0,6.0,5.0,2.0,5.0,3.0,8.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,8.0,11.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,3.0,6.0,5.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11.0,12.0,0.0,2.0,4.0,8.0,2.0,1.0,4.0,5.0,5.0,10.0,21.0,13.0,4.0,2.0
HOBBIES_2_003_CA_2_validation,HOBBIES_2_003,HOBBIES_2,HOBBIES,CA_2,CA,0.0,11.0,10.0,12.0,8.0,9.0,14.0,0.0,16.0,7.0,7.0,11.0,11.0,11.0,15.0,15.0,5.0,7.0,11.0,6.0,28.0,6.0,18.0,5.0,7.0,9.0,8.0,5.0,7.0,7.0,8.0,5.0,15.0,8.0,12.0,14.0,6.0,13.0,7.0,14.0,7.0,13.0,15.0,8.0,11.0,9.0,10.0,3.0,7.0,4.0,9.0,8.0,4.0,8.0,11.0,8.0,19.0,19.0,15.0,12.0,11.0,18.0
HOBBIES_2_004_CA_2_validation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_2,CA,2.0,2.0,10.0,3.0,5.0,2.0,5.0,7.0,4.0,6.0,7.0,6.0,3.0,4.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,6.0,7.0,7.0,8.0,9.0,5.0,0.0,8.0,2.0,5.0,3.0,6.0,3.0,6.0,5.0,3.0,8.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,8.0,2.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,3.0,7.0,7.0,11.0,9.0,9.0
HOBBIES_2_001_TX_1_validation,HOBBIES_2_001,HOBBIES_2,HOBBIES,TX_1,TX,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,0.0,2.0,1.0,4.0,1.0,1.0
HOBBIES_2_002_TX_1_validation,HOBBIES_2_002,HOBBIES_2,HOBBIES,TX_1,TX,8.0,10.0,6.0,10.0,8.0,10.0,7.0,7.0,13.0,10.0,14.0,8.0,7.0,1.0,2.0,13.0,6.0,3.0,2.0,11.0,12.0,12.0,18.0,9.0,8.0,4.0,14.0,14.0,4.0,5.0,5.0,12.0,12.0,8.0,18.0,4.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.0,5.0,0.0,6.0,4.0,7.0,3.0,3.0,1.0,0.0,0.0,3.0,9.0,1.0,5.0,3.0
HOBBIES_2_003_TX_1_validation,HOBBIES_2_003,HOBBIES_2,HOBBIES,TX_1,TX,0.0,6.0,1.0,4.0,4.0,4.0,7.0,6.0,22.0,8.0,11.0,11.0,12.0,1.0,3.0,13.0,0.0,3.0,6.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,3.0,5.0,8.0,0.0,5.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,7.0,14.0,13.0,29.0,31.0,17.0,20.0,21.0,21.0
HOBBIES_2_004_TX_1_validation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_1,TX,0.0,1.0,7.0,5.0,1.0,5.0,10.0,4.0,11.0,14.0,1.0,8.0,5.0,2.0,3.0,3.0,1.0,2.0,7.0,6.0,4.0,12.0,11.0,6.0,6.0,4.0,5.0,4.0,1.0,4.0,1.0,12.0,17.0,5.0,26.0,9.0,9.0,6.0,11.0,6.0,5.0,1.0,12.0,9.0,21.0,7.0,15.0,3.0,4.0,3.0,2.0,10.0,4.0,1.0,6.0,2.0,7.0,1.0,3.0,2.0,15.0,3.0
HOBBIES_2_001_TX_2_validation,HOBBIES_2_001,HOBBIES_2,HOBBIES,TX_2,TX,4.0,0.0,2.0,4.0,6.0,7.0,4.0,0.0,4.0,1.0,4.0,4.0,3.0,8.0,0.0,2.0,3.0,4.0,3.0,8.0,9.0,7.0,7.0,5.0,7.0,9.0,11.0,5.0,5.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0,3.0,5.0,1.0,6.0,1.0,2.0,1.0,6.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,7.0,9.0,3.0,5.0,1.0
HOBBIES_2_002_TX_2_validation,HOBBIES_2_002,HOBBIES_2,HOBBIES,TX_2,TX,11.0,6.0,9.0,18.0,10.0,5.0,6.0,15.0,24.0,24.0,33.0,0.0,14.0,9.0,3.0,26.0,16.0,4.0,17.0,14.0,26.0,26.0,53.0,18.0,15.0,9.0,12.0,27.0,6.0,6.0,11.0,12.0,36.0,14.0,27.0,9.0,25.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,17.0,9.0,11.0,7.0,7.0,14.0,6.0,3.0,1.0,8.0,18.0,21.0,58.0,14.0,13.0,6.0
HOBBIES_2_003_TX_2_validation,HOBBIES_2_003,HOBBIES_2,HOBBIES,TX_2,TX,0.0,7.0,8.0,16.0,15.0,7.0,13.0,11.0,13.0,13.0,9.0,13.0,16.0,5.0,14.0,7.0,10.0,6.0,5.0,4.0,14.0,11.0,11.0,6.0,5.0,7.0,11.0,1.0,7.0,5.0,3.0,9.0,20.0,9.0,17.0,10.0,14.0,13.0,21.0,22.0,16.0,9.0,6.0,7.0,24.0,20.0,14.0,6.0,5.0,18.0,22.0,21.0,16.0,15.0,14.0,14.0,30.0,18.0,17.0,13.0,32.0,22.0
HOBBIES_2_004_TX_2_validation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_2,TX,6.0,5.0,8.0,9.0,4.0,5.0,1.0,3.0,16.0,9.0,2.0,10.0,5.0,13.0,8.0,4.0,3.0,7.0,4.0,5.0,13.0,11.0,10.0,12.0,6.0,9.0,11.0,17.0,4.0,8.0,11.0,8.0,10.0,8.0,10.0,7.0,4.0,11.0,10.0,6.0,5.0,2.0,1.0,3.0,8.0,1.0,7.0,2.0,3.0,0.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,5.0,7.0,3.0,7.0,6.0
